area_0,area_1,area_2,time,iter 
-31,-14,45,110,7
-31,-14,45,111,7
-31,-14,45,112,7
-31,-14,45,113,7
-31,-14,45,114,7
-31,-14,45,115,7
-31,-14,45,116,7
-31,-14,45,117,7
-31,-14,45,118,7
-31,-14,45,119,7
-31,-14,45,120,7
-31,-14,45,121,7
-31,-14,45,122,7
-31,-14,45,123,7
-31,-14,45,124,7
-31,-14,45,125,7
-31,-14,45,126,7
-31,-14,45,127,7
-31,-14,45,128,7
-31,-14,45,129,7
-31,-14,45,130,7
-31,-14,45,131,7
-31,-14,45,132,7
-31,-14,45,133,7
-31,-14,45,134,7
-31,-14,45,135,7
-31,-14,45,136,7
-31,-14,45,137,7
-31,-14,45,138,7
-31,-14,45,139,7
-31,-14,45,140,7
-31,-14,45,141,7
-31,-14,45,142,7
-31,-14,45,143,7
-31,-14,45,144,7
-31,-14,45,145,7
-31,-14,45,146,7
-31,-14,45,147,7
-31,-14,45,148,7
-31,-14,45,149,7
-31,-14,45,150,7
-31,-14,45,151,7
10,14,14,0,8
10,14,14,1,8
15,16,15,2,8
18,23,20,3,8
22,26,36,4,8
25,27,41,5,8
31,32,48,6,8
33,40,56,7,8
36,45,70,8,8
41,51,85,9,8
46,63,102,10,8
38,63,102,11,8
40,74,118,12,8
39,81,140,13,8
37,82,148,14,8
38,90,165,15,8
39,93,185,16,8
45,99,199,17,8
46,101,219,18,8
49,102,236,19,8
55,99,256,20,8
56,107,266,21,8
57,116,282,22,8
56,113,288,23,8
66,123,308,24,8
67,131,323,25,8
73,139,328,26,8
73,144,342,27,8
75,151,358,28,8
75,153,369,29,8
79,156,358,30,8
72,149,343,31,8
61,141,325,32,8
54,136,311,33,8
46,115,287,34,8
40,101,268,35,8
29,83,247,36,8
20,68,215,37,8
13,46,187,38,8
5,26,159,39,8
-5,0,147,40,8
-5,-4,136,41,8
-6,-11,123,42,8
-6,-14,111,43,8
-7,-20,109,44,8
-7,-22,94,45,8
-7,-22,85,46,8
-7,-21,81,47,8
-7,-22,71,48,8
-7,-24,72,49,8
-7,-25,69,50,8
-7,-26,68,51,8
-7,-26,64,52,8
-7,-27,62,53,8
-7,-29,56,54,8
-7,-30,54,55,8
-7,-30,52,56,8
-7,-31,49,57,8
-7,-32,48,58,8
-7,-32,46,59,8
-7,-32,45,60,8
-7,-33,43,61,8
-7,-33,42,62,8
-7,-33,41,63,8
-7,-33,41,64,8
-7,-33,41,65,8
-7,-33,41,66,8
-7,-33,41,67,8
-7,-33,41,68,8
-7,-33,40,69,8
-7,-33,40,70,8
-7,-33,40,71,8
-7,-33,40,72,8
-7,-33,40,73,8
-7,-33,40,74,8
-7,-33,40,75,8
-7,-33,40,76,8
-7,-33,40,77,8
-7,-33,40,78,8
-7,-33,40,79,8
-7,-33,40,80,8
-7,-33,40,81,8
-7,-33,40,82,8
-7,-33,40,83,8
-7,-33,40,84,8
-7,-33,40,85,8
-7,-33,40,86,8
